Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
38	741000	741000	15468534	15468534	15468534	15468534	15468534	1024
39	780000	780000	17270791	17270791	17270791	17270791	17270791	1024
40	820000	820000	19235252	19235252	19235252	19235252	19235252	1024
41	861000	861000	21376515	21376515	21376515	21376515	21376515	1024
42	903000	903000	23710491	23710491	23710491	23710491	23710491	1024
43	946000	946000	26254525	26254525	26254525	26254525	26254525	1024
44	990000	990000	29027522	29027522	29027522	29027522	29027522	1024
45	1035000	1035000	32050088	32050088	32050088	32050088	32050088	1024
46	1081000	1081000	35344686	35344686	35344686	35344686	35344686	1024
47	1128000	1128000	38935798	38935798	38935798	38935798	38935798	1024
48	1176000	1176000	42850109	42850109	42850109	42850109	42850109	1024
49	1225000	1225000	47116709	47116709	47116709	47116709	47116709	1024
50	1275000	1275000	51767302	51767302	51767302	51767302	51767302	1024
51	1326000	1326000	56836449	56836449	56836449	56836449	56836449	1024
52	1378000	1378000	62361819	62361819	62361819	62361819	62361819	1024
53	1431000	1431000	68384473	68384473	68384473	68384473	68384473	1024
54	1485000	1485000	74949165	74949165	74949165	74949165	74949165	1024
55	1540000	1540000	82104680	82104680	82104680	82104680	82104680	1024
56	1596000	1596000	89904191	89904191	89904191	89904191	89904191	1024
57	1653000	1653000	98405658	98405658	98405658	98405658	98405658	1024
58	1711000	1711000	1711000	1711000	1711000	1711000	1711000	1024
59	1770000	1770000	1770000	1770000	1770000	1770000	1770000	1024
60	1830000	1830000	1830000	1830000	1830000	1830000	1830000	1024
61	1891000	1891000	1891000	1891000	1891000	1891000	1891000	1024
62	1953000	1953000	1953000	1953000	1953000	1953000	1953000	1024
63	2016000	2016000	2016000	2016000	2016000	2016000	2016000	1024
64	2080000	2080000	2080000	2080000	2080000	2080000	2080000	1024
65	2145000	2145000	2145000	2145000	2145000	2145000	2145000	1024
66	2211000	2211000	2211000	2211000	2211000	2211000	2211000	1024
67	2278000	2278000	2278000	2278000	2278000	2278000	2278000	1024
68	2346000	2346000	2346000	2346000	2346000	2346000	2346000	1024
69	2415000	2415000	2415000	2415000	2415000	2415000	2415000	1024
70	2485000	2485000	2485000	2485000	2485000	2485000	2485000	976
71	2556000	2556000	2556000	2556000	2556000	2556000	2556000	928
72	2628000	2628000	2628000	2628000	2628000	2628000	2628000	880
73	2701000	2701000	2701000	2701000	2701000	2701000	2701000	832
74	2775000	2775000	2775000	2775000	2775000	2775000	2775000	784
75	2850000	2850000	2850000	2850000	2850000	2850000	2850000	736
76	2926000	2926000	2926000	2926000	2926000	2926000	2926000	688
77	3003000	3003000	3003000	3003000	3003000	3003000	3003000	640
78	3081000	3081000	3081000	3081000	3081000	3081000	3081000	592
79	3160000	3160000	3160000	3160000	3160000	3160000	3160000	544
80	3240000	3240000	3240000	3240000	3240000	3240000	3240000	496
81	3321000	3321000	3321000	3321000	3321000	3321000	3321000	448
82	3403000	3403000	3403000	3403000	3403000	3403000	3403000	400
83	3486000	3486000	3486000	3486000	3486000	3486000	3486000	352
84	3570000	3570000	3570000	3570000	3570000	3570000	3570000	304
85	3655000	3655000	3655000	3655000	3655000	3655000	3655000	256
86	3741000	3741000	3741000	3741000	3741000	3741000	3741000	192
87	3828000	3828000	3828000	3828000	3828000	3828000	3828000	144
88	3916000	3916000	3916000	3916000	3916000	3916000	3916000	108
89	4005000	4005000	4005000	4005000	4005000	4005000	4005000	81
90	4095000	4095000	4095000	4095000	4095000	4095000	4095000	61
91	4186000	4186000	4186000	4186000	4186000	4186000	4186000	46
92	4278000	4278000	4278000	4278000	4278000	4278000	4278000	35
93	4371000	4371000	4371000	4371000	4371000	4371000	4371000	26
94	4465000	4465000	4465000	4465000	4465000	4465000	4465000	20
95	4560000	4560000	4560000	4560000	4560000	4560000	4560000	15
96	4656000	4656000	4656000	4656000	4656000	4656000	4656000	11
97	4753000	4753000	4753000	4753000	4753000	4753000	4753000	8
98	4851000	4851000	4851000	4851000	4851000	4851000	4851000	6
99	4950000	4950000	4950000	4950000	4950000	4950000	4950000	5
